Contagios,Muertos
9510,691
3831,409
1858,94
1659,102
11102,1129
13063,1431
31824,3231
91,4
44783,5972
3748,218
8331,796
2332,288
6946,243
1488,97
3076,196
95,2
10103,729
1799,121
1383,90
