Comunidad,Muertos,Contagios
Andalucía,691,9510
Aragón,409,3831
Canarias,94,1858
Cantabria,102,1659
Castilla y León,1129,11102
Castilla-La Mancha,1431,13063
Cataluña,3231,31824
Ceuta,4,91
Comunidad de Madrid,5972,44783
Comunidad Foral de Navarra,218,3748
Comunidad Valenciana,796,8331
Extremadura,288,2332
Galicia,243,6946
Islas Baleares,97,1488
La Rioja,196,3076
Melilla,2,95
País Vasco,729,10103
Principado de Asturias,121,1799
Región de Murcia,90,1383
