Muertos;Contagios
691;9510
409;3831
94;1858
102;1659
1129;11102
1431;13063
3231;31824
4;91
5972;44783
218;3748
796;8331
288;2332
243;6946
97;1488
196;3076
2;95
729;10103
121;1799
90;1383
